function_addr,callers_count,callers,callees,reachable_from_4100_static,observed_from_boot,observed_from_packet_runs,feature_tags,confidence,notes
0x4100,0,,,yes,yes,no,application_entry,high,static callers only
0x415F,0,,,yes,yes,no,unknown_runtime_candidate,low,static callers only
0x497A,0,,,no,no,no,unknown_runtime_candidate,low,static callers only
0x55AD,0,,0x5A7F,no,no,yes,packet_event_candidate,low,static callers only
0x5602,0,,0x5A7F,no,no,yes,packet_event_candidate,low,static callers only
0x5715,0,,,no,no,no,runtime_loop_candidate,low,static callers only
0x5935,20,0x561E;0x5659;0x5693;0x5745;0x5771;0x579B;0x57C5;0x57EF,0x597F,no,no,yes,runtime_loop_candidate,low,static callers only
0x597F,17,0x5935;0x593F;0x6077;0x683A;0x6A1F;0x6E2C;0x6FA7;0x70CC,,no,no,yes,runtime_loop_candidate,low,static callers only
0x5A7F,142,0x55AD;0x55C0;0x55C9;0x55E6;0x55F9;0x5602;0x5628;0x5663,,no,no,yes,packet_event_candidate,low,static callers only
0x613C,2,0x60E4;0x6993,,no,no,no,unknown_runtime_candidate,low,static callers only
0x6833,1,0x7876,,no,no,no,unknown_runtime_candidate,low,static callers only
0x728A,1,0x85D3,,no,no,no,unknown_runtime_candidate,low,static callers only
0x737C,1,0x8625,,no,no,no,unknown_runtime_candidate,low,static callers only
0x7922,9,0x54C1;0x666F;0x6836;0x7187;0x72C8;0x72FF;0x7349;0x756A,,no,no,no,unknown_runtime_candidate,low,static callers only
0x7DC2,0,,0x7121,no,no,no,unknown_runtime_candidate,low,static callers only
0x84A6,2,0x7105;0x73FD,,no,no,no,unknown_runtime_candidate,low,static callers only
0x415B,0,,,yes,yes,no,unknown_runtime_candidate,low,static callers only
0x4167,0,,,yes,yes,no,unknown_runtime_candidate,low,static callers only
0x4188,0,,,no,no,no,unknown_runtime_candidate,low,static callers only
0x41F7,0,,,no,no,no,unknown_runtime_candidate,low,static callers only
0x41FF,0,,,no,no,no,unknown_runtime_candidate,low,static callers only
0x4300,0,,,no,no,no,unknown_runtime_candidate,low,static callers only
0x432C,0,,,no,no,no,unknown_runtime_candidate,low,static callers only
0x434D,0,,,no,no,no,unknown_runtime_candidate,low,static callers only
0x438F,0,,,no,no,no,unknown_runtime_candidate,low,static callers only
0x43EC,0,,,no,no,no,unknown_runtime_candidate,low,static callers only
