device,firmware_file,project_role,output_module_present,output_module_name,output_function,trigger_condition,controlled_equipment,terminal_or_signal_tags,evidence_level,confidence,notes
90CYE01,ppkp2001 90cye01.PZU,fire_state_source,yes,MVK-2.1,any_zone_fire_output,any_zone_fire,soue_and_engineering_shutdown_chain,project_no_terminal_table_in_repo,project_documentation,high,"MVK-2.1 listed as output role in project extraction; physical relay/channel mapping remains blocked_until_bench."
90CYE01,ppkp2001 90cye01.PZU,fire_state_source,yes,zone_fire_output_class,soue_activation,on_fire_state_from_zone_logic,СОУЭ,not_explicitly_mapped_in_current_pages,project_documentation,medium,"Function confirmed at project level; no claim on specific channel count."
90CYE01,ppkp2001 90cye01.PZU,fire_state_source,yes,zone_fire_output_class,ventilation_shutdown,on_fire_state_from_zone_logic,ventilation_power_or_control_circuit,not_explicitly_mapped_in_current_pages,project_documentation,medium,"Ventilation shutdown documented in extracted project role set; terminal mapping unresolved."
90CYE01,ppkp2001 90cye01.PZU,water_extinguishing_discrete_input_collector,no,MDS_еФ5.104.156,discrete_input_collection,pressure_or_flow_or_remote_start_events,PS10_VSR_VSR6_and_remote_start_signals,03SGC01CP051|03SGC01CF051|03SGC01CF052|03SGC01CF053|90CYE01CH001..CH004,project_documentation,high,"MDS must be treated as discrete/input module in current evidence; not classified as output module."
90CYE02,90CYE02_27 DKS.PZU,fire_damper_control,yes,damper_control_output_class,voltage_removal_for_damper_control_circuits,on_fire_received_from_90CYE01_rs485,damper_actuator_control_circuits,terminal_table_partial_in_current_docs,project_documentation,high,"Project evidence supports output function class for damper control; do not classify as aerosol output."
90CYE02,90CYE02_27 DKS.PZU,fire_damper_control,no,limit_switch_monitoring_channel,status_input_monitoring,on_damper_position_changes,limit_switch_status_channels,limit_switch_tags_not_fully_extracted,project_documentation,high,"Limit switches are input/status evidence, not output module evidence."
90CYE03,90CYE03_19_DKS.PZU,aerosol_extinguishing_start,yes,aerosol_start_output_class,GOA_start_pulse,fire_received_and_auto_mode_and_door_closed_and_delay_elapsed,aerosol_generators,goa_terminal_table_missing,project_documentation,high,"Aerosol launch with delay and mode gating is project-confirmed; exact relay/terminal still blocked_until_bench."
90CYE03,90CYE03_19_DKS.PZU,aerosol_extinguishing_start,yes,warning_board_output_class,АН_АУ_АО_warning_indication,fire_or_mode_state_transitions,warning_boards_and_annunciation_panels,AN_AU_AO_tags_partial,project_documentation,medium,"Warning board class supported by project docs; per-channel mapping unresolved."
90CYE03,90CYE03_19_DKS.PZU,aerosol_extinguishing_start,unknown,МУП_candidate,module_role_unknown,current_evidence_split,unknown,screen_only_reference_without_project_page,screen_configuration,low,"МУП appears in screen evidence only in current dataset; blocked_until_docs for role mapping."
90CYE03,90CYE03_19_DKS.PZU,aerosol_extinguishing_start,unknown,ПВК_candidate,module_role_unknown,current_evidence_split,unknown,screen_only_reference_without_project_page,screen_configuration,low,"ПВК appears in screen evidence only in current dataset; blocked_until_docs for role mapping."
90CYE04,90CYE04_19_DKS.PZU,aerosol_extinguishing_start,yes,aerosol_start_output_class,GOA_start_pulse,fire_received_and_auto_mode_and_door_closed_and_delay_elapsed,aerosol_generators,goa_terminal_table_missing,project_documentation,medium,"Structured same as 90CYE03 by project linkage unless project-specific divergence is found."
90CYE04,90CYE04_19_DKS.PZU,aerosol_extinguishing_start,yes,warning_board_output_class,АН_АУ_АО_warning_indication,fire_or_mode_state_transitions,warning_boards_and_annunciation_panels,AN_AU_AO_tags_partial,project_documentation,medium,"Supported at project role level; no claim on exact output numbers/channels."
